TAG,voltype,append,chmod,create,delete,delete-renamed,getxattr,ls-l,mkdir,overwrite,read,readdir,rename,rmdir,setxattr,stat,symlink
v5.0, 1x3, 1166.633, 2115.1308, 1050.18442,2020.4065, 2075.9049, 6575.0975,2758.3034,1056.7833,1246.1155, 2198.2693, 6106.614, 402.9718, 1554.0332, 2665.9319, 2999.8137, 2248.501
v4.1.0, 1x3, 1273.06418, 2560.01082, 1121.3246, 2519.3784, 2636.512, 6656.37, 5999.9375, 1151.5915, 1342, 3254.721, 6095.6161, 490.174, 2129.7359, 3607.3867, 3802.3923, 2851.5
